source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
OLX Pakistan,MG HS Model 2021,MG,HS,Standard,2021,3,5700000,57.0,72000,Lahore,1300,Manual,Diesel,https://www.olx.com.pk/item/mg-hs-model-2021-iid-1119088551,https://images.olx.com.pk/thumbnails/644446424-400x300.jpeg,"Featured | Rs 57 Lacs | MG HS Model 2021 | 2021 | • | 72,000 km | • | Diesel | Attock Road, Attock | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Daihatsu Cuore 2011 — Total Genuine | Just Buy & Drive!,Daihatsu,Cuore,Standard,2011,13,1400000,14.0,164000,Lahore,660,Manual,Petrol,https://www.olx.com.pk/item/daihatsu-cuore-2011-total-genuine-just-buy-drive-iid-1119088101,https://images.olx.com.pk/thumbnails/644443761-400x300.jpeg,"Featured | Rs 14 Lacs | Daihatsu Cuore 2011 — Total Genuine | Just Buy & Drive! | 2011 | • | 164,000 km | • | Petrol | GT Road, Chichawatni | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki mehran 2008,Suzuki,Mehran,Standard,2008,16,850000,8.5,150000,Islamabad,1300,Manual,Petrol,https://www.olx.com.pk/item/suzuki-mehran-2008-iid-1118998694,https://images.olx.com.pk/thumbnails/647756793-400x300.jpeg,"Featured | Rs 8.50 Lac | Suzuki mehran 2008 | 2008 | • | 150,000 km | • | Petrol | Jhangi Syedan, Islamabad | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki Cultus Euro II 2012 | Suzuki Cultus 2012 | Cultus Car For Sale,Suzuki,Cultus,Euro II,2012,12,1575000,15.75,60000,Lahore,1000,Manual,Petrol,https://www.olx.com.pk/item/suzuki-cultus-euro-ii-2012-suzuki-cultus-2012-cultus-car-for-sale-iid-1118883841,https://images.olx.com.pk/thumbnails/643221606-400x300.jpeg,"Featured | Rs 15.75 Lacs | Suzuki Cultus Euro II 2012 | Suzuki Cultus 2012 | Cultus Car For Sale | 2012 | • | 60,000 km | • | Petrol | Garhi Shahu, Lahore | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,MG HS 2026,MG,HS,Standard,2026,0,9700000,97.0,50000,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/mg-hs-2026-iid-1118868495,https://images.olx.com.pk/thumbnails/643121108-400x300.jpeg,"Featured | Rs 97 Lacs | MG HS 2026 | 2026 | • | New | • | PHEV | DHA Phase 6, Lahore | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda City 1.2 Automatic 2026 Model Zero Meter For Sale,Honda,City,Standard,2026,0,2800000,28.0,50000,Rawalpindi,1300,Automatic,Petrol,https://www.olx.com.pk/item/honda-city-12-automatic-2026-model-zero-meter-for-sale-iid-1117996570,https://images.olx.com.pk/thumbnails/644702305-400x300.jpeg,"Featured | Rs 28 Lacs | Honda City 1.2 Automatic 2026 Model Zero Meter For Sale | 2025 | • | New | • | Petrol | Bahria Town Phase 8, Rawalpindi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda Vezel 2014/2019 Total genuine,Honda,Vezel,Standard,2014,10,4250000,42.5,87000,Rawalpindi,1800,Manual,Hybrid,https://www.olx.com.pk/item/honda-vezel-20142019-total-genuine-iid-1117303201,https://images.olx.com.pk/thumbnails/644451084-400x300.jpeg,"Featured | Rs 42.50 Lacs | Honda Vezel 2014/2019 Total genuine | 2014 | • | 87,000 km | • | Hybrid | Askari 14, Rawalpindi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,TOYOT YARIS ATIV 1.3cc MODEL 2022 (B2B) ORIGINAL WHITE COLOR,Toyota,Yaris,ATIV 1.3,2022,2,4399000,43.99,50000,Karachi,1300,Manual,Petrol,https://www.olx.com.pk/item/toyot-yaris-ativ-13cc-model-2022-b2b-original-white-color-iid-1119693567,https://images.olx.com.pk/thumbnails/648055685-400x300.jpeg,"Featured | Rs 43.99 Lacs | TOYOT YARIS ATIV 1.3cc MODEL 2022 (B2B) ORIGINAL WHITE COLOR | 2022 | • | New | • | Petrol | DHA Phase 2, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda Vezel 2017 Z Sensing – Brand New Condition,Honda,Vezel,Standard,2017,7,6100000,61.0,124000,Faisalabad,1800,Manual,Hybrid,https://www.olx.com.pk/item/honda-vezel-2017-z-sensing-brand-new-condition-iid-1119670113,https://images.olx.com.pk/thumbnails/648054383-400x300.jpeg,"Featured | Rs 61 Lacs | Honda Vezel 2017 Z Sensing – Brand New Condition | 2017 | • | 124,000 km | • | Hybrid | Satiana Road, Faisalabad | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki Cultus VXR 2005,Suzuki,Cultus,VXR,2005,19,750000,7.5,12345,Karachi,1000,Manual,Petrol,https://www.olx.com.pk/item/suzuki-cultus-vxr-2005-iid-1119693413,https://images.olx.com.pk/thumbnails/648053926-400x300.jpeg,"Featured | Rs 7.50 Lac | Suzuki Cultus VXR 2005 | 2005 | • | 12,345 km | • | Petrol | Shaheed Millat Road, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
