source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
PakWheels,Daihatsu Move  2012 L for Sale,Daihatsu,Move,Standard,2012,12,2000000,20.0,140000,Karachi,660,Automatic,Petrol,https://www.pakwheels.com/used-cars/daihatsu-move-2012-for-sale-in-karachi-12044665,https://cache1.pakwheels.com/ad_pictures/1521/tn_daihatsu-move-l-6-2012-152143376.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,Toyota,Corolla,Standard,2019,5,4150000,41.5,214000,Lahore,1300,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-manga-mandi-12044647,https://cache4.pakwheels.com/ad_pictures/1521/tn_toyota-corolla-gli-vvti-automatic-2019-152142976.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Mehran  2015 VXR Euro II for Sale,Suzuki,Mehran,VXR,2015,9,1000000,10.0,99410,Lahore,796,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-lahore-11929410,https://cache2.pakwheels.com/ad_pictures/1503/tn_suzuki-mehran-vxr-euro-ii-2015-150376572.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,Toyota,Corolla,Standard,2019,5,5600000,56.0,66000,Lahore,1300,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-swat-12044659,https://cache1.pakwheels.com/ad_pictures/1521/tn_toyota-corolla-gli-vvti-automatic-2019-152142263.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Haval H6  2025 HEV for Sale,Haval,H6,Standard,2025,0,11000000,110.0,38000,Sialkot,1500,Automatic,Hybrid,https://www.pakwheels.com/used-cars/haval-h6-2025-for-sale-in-sialkot-12044425,https://cache3.pakwheels.com/ad_pictures/1521/tn_haval-h6-hev-2025-152139833.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Changan Alsvin  2023 1.5L DCT Lumiere for Sale,Changan,Alsvin,Lumiere,2023,1,3550000,35.5,65000,Lahore,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/changan-alsvin-2023-for-sale-in-lahore-12044651,https://cache1.pakwheels.com/ad_pictures/1521/tn_changan-alsvin-1-5l-dct-lumiere-2023-152143172.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Alto  2011 E Manual for Sale,Suzuki,Alto,Standard,2011,13,1550000,15.5,348500,Karachi,660,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-karachi-12044655,https://cache1.pakwheels.com/ad_pictures/1521/tn_suzuki-alto-e-manual-2011-152143406.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Vitz  2026  for Sale,Toyota,Vitz,Standard,2026,0,2250000,22.5,190000,Peshawar,1000,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-vitz-2026-for-sale-in-peshawar-12044650,https://cache1.pakwheels.com/ad_pictures/1521/tn_toyota-vitz-2026-152143311.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Hustler  2016 X for Sale,Suzuki,Corolla,Standard,2016,8,2695000,26.95,82000,Lahore,660,Automatic,Petrol,https://www.pakwheels.com/used-cars/suzuki-hustler-2016-for-sale-in-lahore-12027398,https://cache4.pakwheels.com/ad_pictures/1518/tn_suzuki-hustler-x-41-2016-151878405.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Subaru Pleo  2007 A for Sale,Toyota,Corolla,Standard,2007,17,1290000,12.9,200000,Lahore,660,Automatic,Petrol,https://www.pakwheels.com/used-cars/subaru-pleo-2007-for-sale-in-lahore-12044649,https://cache2.pakwheels.com/ad_pictures/1521/tn_subaru-pleo-a-2-2007-152143014.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda City 5th (GM2) Generation 2015 Aspire Prosmatec 1.5 i-VTEC for Sale,Honda,City,i-VTEC,2015,9,3400000,34.0,137000,Faisalabad,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-faisalabad-12044493,https://cache1.pakwheels.com/ad_pictures/1521/tn_honda-city-aspire-prosmatec-2015-152140686.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Swift  2017 DLX 1.3 for Sale,Suzuki,Swift,DLX,2017,7,2400000,24.0,90287,Faisalabad,1300,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-swift-2017-for-sale-in-faisalabad-11907547,https://cache4.pakwheels.com/ad_pictures/1500/tn_suzuki-swift-1-3l-dlx-2017-150040626.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
